Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,73000000,,312000000,617000000,449000000,509000000,775000000,462000000,309000000,471000000,1234000000,874000000,575000000,725000000,793000000,1421000000,1258000000,2126000000,2626000000,960000000,1242000000,1628000000,1414000000,1348000000,1173000000,1046000000,1559000000,1866000000,1251000000,321000000,272000000,216000000,,406000000,408000000,96000000,304000000,345000000,,,512000000,402000000,,,,618000000,987000000,1055000000,769000000,402000000,,1087000000,954000000,521000000,293000000,312000000,,,,,,,212000000
Afghanistan,40000000,56000000,64000000,40000000,56000000,91000000,198000000,230000000,145000000,92000000,9000000,149000000,124000000,,,90000000,230000000,75000000,281000000,360000000,352000000,382000000,294000000,236000000,368000000,153000000,284000000,561000000,1047000000,2151000000,1865000000,1411000000,,,,,,,,,,,34000000,,,33000000,3000000,39000000,145000000,324000000,360000000,628000000,519000000,255000000,317000000,139000000,169000000,236000000,313000000,383000000,234000000,65000000,
Africa Western and Central,51000000,134000000,41000000,28000000,56000000,118000000,194000000,86000000,89000000,113000000,57000000,154000000,134000000,85000000,162000000,,441000000,303000000,427000000,415000000,707000000,608000000,853000000,225000000,671000000,610000000,373000000,215000000,158000000,204000000,144000000,,,,136000000,,,84000000,,,102000000,56000000,83000000,156000000,80000000,,100000000,180000000,163000000,223000000,321000000,252000000,221000000,336000000,565000000,266000000,208000000,154000000,153000000,186000000,218000000,435000000,226000000
Angola,,,,,,,,,,,,,,,1000000,241000000,181000000,105000000,146000000,111000000,153000000,241000000,379000000,574000000,479000000,528000000,703000000,1186000000,965000000,152000000,140000000,,,122000000,111000000,1000000,44000000,7000000,149000000,358000000,147000000,156000000,148000000,48000000,8000000,38000000,7000000,31000000,29000000,20000000,,,,30000000,2000000,49000000,152000000,110000000,272000000,169000000,51000000,,46000000
Albania,57000000,74000000,42000000,12000000,8000000,140000000,74000000,163000000,265000000,297000000,250000000,332000000,134000000,106000000,137000000,53000000,5000000,7000000,5000000,,,,,,,,,,,,,,,,,26000000,,,,,,,,2000000,,7000000,,5000000,,,,,15000000,7000000,7000000,7000000,,2000000,2000000,5000000,1000000,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,525000000,789000000,1260000000,1238000000,1548000000,1955000000,3462000000,4682000000,3321000000,3783000000,4228000000,3855000000,6489000000,9242000000,8981000000,6460000000,5890000000,9612000000,11415000000,11328000000,11926000000,13648000000,16622000000,13932000000,12440000000,10704000000,10317000000,10024000000,5486000000,5762000000,6496000000,4398000000,3670000000,5290000000,4169000000,4759000000,5314000000,6082000000,4931000000,3457000000,2731000000,2128000000,2911000000,2381000000,4091000000,4451000000,4183000000,3248000000,4135000000,4094000000,5317000000,7439000000,5846000000,6922000000,7678000000,9910000000,12502000000,11944000000,9936000000,8424000000,6464000000,7360000000,10241000000
United Arab Emirates,,,,,,,,,13000000,13000000,69000000,24000000,26000000,88000000,100000000,153000000,283000000,304000000,217000000,18000000,204000000,429000000,160000000,164000000,312000000,144000000,137000000,199000000,42000000,666000000,564000000,238000000,201000000,578000000,565000000,421000000,480000000,686000000,753000000,436000000,245000000,183000000,221000000,681000000,1145000000,2070000000,1923000000,819000000,728000000,602000000,643000000,1236000000,1137000000,2281000000,733000000,1179000000,941000000,832000000,1136000000,810000000,564000000,508000000,681000000
Argentina,111000000,205000000,48000000,19000000,19000000,7000000,93000000,143000000,430000000,230000000,257000000,376000000,402000000,243000000,440000000,260000000,489000000,194000000,424000000,441000000,440000000,851000000,407000000,1316000000,727000000,485000000,219000000,217000000,71000000,14000000,159000000,,27000000,,209000000,43000000,28000000,105000000,171000000,276000000,207000000,6000000,15000000,11000000,161000000,3000000,9000000,24000000,21000000,15000000,11000000,15000000,5000000,13000000,6000000,21000000,17000000,45000000,17000000,49000000,7000000,77000000,39000000
