Year,Value
1960,163.0
1961,87.0
1962,271.0
1963,407.0
1964,417.0
1965,437.0
1966,319.0
1967,283.0
1968,978.0
1969,1381.0
1970,1122.0
1971,1341.0
1972,891.0
1973,1959.0
1974,1174.0
1975,1624.0
1976,1939.0
1977,1261.0
1978,1326.0
1979,698.0
1980,1260.0
1981,1654.0
1982,866.0
1983,487.0
1984,286.0
1985,309.0
1986,1185.0
1987,1080.0
1988,582.0
1989,24.0
1990,81.0
1991,1210.0
1992,1335.0
1993,716.0
1994,761.0
1995,366.0
1996,108.0
1997,59.0
1998,1289.0
1999,1191.0
2000,354.0
2001,116.0
2002,337.0
2003,179.0
2004,846.0
2005,1135.0
2006,1125.0
2007,835.0
2008,679.0
2009,156.0
2010,71.0
2011,86.0
2012,127.0
2013,216.0
2014,549.0
2015,688.0
2016,622.0
2017,535.0
2018,494.0
2019,519.0
2020,367.0
2021,476.0
2022,829.0
